RegistrationNumber,Make,Model,MakeYear,Body,Transmission,Fuel,Trim,Mileage,DTCListingPrice,NumPaintedParts,NumReplacedParts
06BPA774,Volkswagen,Passat,2019,Sedan,Otomatik,Dizel,1.6 Tdi Bmt Impression Dsg 120HP,75196,1304000,1,0
34AEL079,Fiat,Egea,2017,Hatchback,Otomatik,Dizel,1.6 16v Multijet II Start&Stop Lounge Plus Dct 120HP,91000,750000,0,2
47JE054,Skoda,Superb,2017,Hatchback,Otomatik,Dizel,1.6 Tdi Greentech Comfort Dsg 120HP,100931,1198000,1,0
34CLA077,Hyundai,I20,2014,Hatchback,Manuel,Benzin,1.2 Mpi Style 84HP,98650,601000,2,2
06FU4767,Mercedes-Benz,C,2015,Sedan,Otomatik,Dizel,200 D Bluetec Style 7G-Tronic 136HP,85000,1370000,1,0
35BAA405,Citroen,C5 AirCross,2021,SUV,Otomatik,Benzin,1.6 Puretech Shine Eat8 180HP,21927,1395000,0,0
34WZY477,Honda,Civic,2021,Sedan,Otomatik,Benzin,Sedan 1.6 i-VTEC Eco Elegance 125HP,19069,1157000,2,0
06CAA073,Ford,EcoSport,2020,SUV,Otomatik,Benzin,1.0 Ecoboost Style 125HP,25798,915000,0,0
06WB7450,Opel,Astra,2010,Hatchback,Manuel,Benzin,1.6 Enjoy 115HP,97443,497000,1,0
06PE7900,Fiat,Egea,2021,Hatchback,Manuel,Benzin,1.4 Fire Lounge 95HP,42000,771000,0,0
34LV7955,Hyundai,I20,2015,Hatchback,Otomatik,Benzin,1.4 Mpi Elite 100HP,124683,694000,3,3
06CIA447,Fiat,Egea,2021,Sedan,Manuel,Benzin,1.4 Fire Easy 95HP,48697,621000,2,2
37AAF535,Kia,Stonic,2021,SUV,Otomatik,Benzin,1.4 Dpi Cool 100HP,25264,978000,0,0
07ALW735,Volkswagen,Tiguan,2017,SUV,Manuel,Dizel,1.6 Tdi Scr Bmt Trendline 115HP,65256,1117000,0,0
75ACF940,Nissan,Qashqai,2022,SUV,Otomatik,Hibrit,1.3 DIG-T Skypack Cvt 158HP,26823,1482000,0,0
34AB003,Opel,Mokka X,2019,SUV,Otomatik,Benzin,1.4 Turbo Enjoy 140HP,36350,1028000,0,0
34VN9470,Opel,Astra,2013,Hatchback,Otomatik,Benzin,1.4 Turbo Sport Active Select 140HP,70445,714000,0,0
06CBU753,Citroen,C5 AirCross,2020,SUV,Otomatik,Dizel,1.5 Bluehdi Start&Stop Shine Eat8 130HP,47927,1421000,2,0
34FLK770,Kia,Rio,2021,Hatchback,Manuel,Benzin,1.2 Dpi Cool 84HP,23541,687000,0,0
06W0745,Opel,Astra,2011,Hatchback,Manuel,Dizel,1.3 Cdti Ecoflex Sport 95HP,83671,599000,0,0
34PJA073,Mini,Cooper Countryman,2015,SUV,Otomatik,Benzin,1.6 All4 S 190HP 4x4,124261,1250000,1,0
06CLR030,Renault,Clio,2011,Hatchback,Otomatik,Benzin,1.2 16v Extreme 75HP,122087,442000,7,1
76UP074,Peugeot,3008,2019,SUV,Otomatik,Benzin,1.6 Thp Active Prime Edition Eat8 180HP,58825,1286000,1,0
34CVT407,Toyota,Corolla,2020,Sedan,Otomatik,Benzin,1.6 Passion X-Pack Multidrive S 132HP,26000,1113000,1,0
76ALR599,Volkswagen,Polo,2020,Hatchback,Otomatik,Benzin,1.0 Tsi Comfortline Dsg 95HP,17012,940000,0,0
